text,summary
"ok","ok"
"răng lạnh","răng lạnh"
"Lạnh","lạnh"
"gãi lật","gãi lật"
"duỗi bàn chanphai","duỗi bàn chân phải"
"hai tay cầm hai tay","hai tay cầm hai tay"
"nhấc hạ","nhấc hạ"
"gãi má phải","gãi má phải"
"gãi đầu gối trái","gãi đầu gối trái"
"gãi máTrái","gãi má trái"
"vuốtngón","vuốt ngón"
"xoa lưng","xoa lưng"
"nghiêng sang trYai","nghiêng sang trái"
"nghiêng sang phải","nghiêng sang phải"
"đitiểu","đi tiểu"
"kéo kêra trước","kéo kê ra trước"
"nóng quá","nóng quá"
"duỗi taFchan","duỗi tay chân"
"nâng chân lên","nâng chân lên"
"nâng taY lên","nâng tay lên"
"bỏ kzê phía sfau đầu","bỏ kê phía sau đầu"
"bỏ ra","bỏ ra"
"bỏ xuỐnD","bỏ xuống"
"đitểu","đi tiểu"
"bỏ kê","bỏ kê"
"gãi vai","gãi vai"
"không tưởngtượngnổi","không tưởng tượng nổi"
"sao mà ác thế","sao mà ác thế"
"gãi lật","gãi lật"
"uống nước","uống nước"
"gãi vai pEhải nhRẹ thôi","gãi vai phải nhẹ thôi"
"ra đằngsAu","ra đằng sau"
"gãi nhẹ tránN phaải","gãi nhẹ trán phải"
"bôI cồn và thuốc","bôi cồn và thuốc"
"uống cữa","uống sữa"
"uống sữa bằng ống hút","uống sữa bằng ống hút"
"ngồidậy","ngồi dậy"
"gãi mong trái chỗ giáp đít","gãi mông trái chỗ giáp đít"
"nâvng mông lên","nâng mông lên"
"đặtmôngxuống","đặt mông xuống"
"bôi thuốcxưzng cụt và xương sống hai chỗ","bôi thuốc xương cụt và xương sống hai chỗ"
"chỗloét phía dưới","chỗ loét phía dưới"
"hôm nay thứmấy","hôm nay thứ  mấy"
"hôm naymat hơn à","hôm nay  mát hơn à"
"Rễ thở hơn hẳn","dễ thở hơn hẳn"
"tí chọn kênhnàocó tiếng việt nghe nó xầm xì cho vHui","tí chọn kênh nào có tiếng việt nghe nó xầm xì cho vui"
"đắp ít chăn","đắp ít chăn"
"bỏ chăn ra","bỏ chăn ra"
"lưng Đè ống xông","lưng đè ống xông"
"tay sang trái","tay sang trái"
"uống nuoccam","uống nước cam"
"lót mông","lót mông"
"trước khi vềanhđỡ tsôi ngồi dậy noăm phút","trước khi về anh đỡ tôi ngồi dậy năm phút"
"khi ngồi anh nâng đầu lứn thẳng trên c hơi ngửa ra saủ moct tí cũng được","khi ngồi anh nâng đầu đứng thẳng trên cổ hơi ngửa ra sau một tí cũng được"
"lúc đặp máy xuống anh cứkéo ra càng nhiều càng tốt","lúc đặt máy xuống anh cứ kéo ra càng nhiều càng tốt"
"bật bat mạnh tí","bật bật mạnh tí"
"duỗi rồi oamột tí rồi co là xong","duỗi rồi xoa một tí rồi co là xong"
"đặt lại bàn tay","đặt lại bàn tay"
"kê miệng kê vàochođầu dung đè vào","kê miệng kê vào cho đầu đừng đè vào"
"làm đi","làm đi"
"ống thở cHặt quá","ống thở chặt quá"
"duỗi ấn mộttírồi co","duỗi ấn một tí rồi co"
"cho quạt Zàođây một tí cũngi qược","cho quạt vào đây một tí cũng được"
"nhiều quá","nhiều quá"
"tắtba mở một","tắt ba mở một"
"ngồdidậy","ngồi dậy"
"bópTaychân","bóp tay chân"
"ănsau","ăn sau"
"chịbal con ai","chị ba là con ai"
"gãi vai nhè nhẹ","gãi vai nhè nhẹ"
"vai trái","vai trái"
"lêncầu vai","lên cầu vai"
"gãl lật từgáylên đỉnh","gãi lật từ gáy lên đỉnh"
"lệch phải mộttí","lệch phải một tí"
"làm lạinhé","làm lại nhé"
"luôn luôn lót giấy dưới mép phảiy vì nước dãi chặy liên tục","luôn luôn lót giấy dưới mép phải vì nước dãi chảy liên tục"
"vai sangtrái","vai sang trái"
"bàn tay","bàn tay"
"bông tai","bông tai"
"thở bình","thở bình"
"gÃi nhe đùi phải một tí","gãi nhẹ đùi phải một tí"
"quaphảI","qua phải"
"coG châR phải","co chân phải"
"xolatí nữa","xoa tí nữa"
"tối nay nếU chân tôiduỗi trúngAngười anh thì anh dậysửa giúp cái máy Nhé","tối nay nếu chân tôi duỗi trúng người anh thì anh dậy sửa giúp cái máy nhé"
"chăn xuống","chăn xuống"
"bơmsữa","bơm sữa"
"gì cũngđược","gì cũng được"
"hộp lắc cho maunguội","hộp lắc cho mau nguội"
"uỗi ống","duỗi ống"
"thôi","thôi"
"tắt","tắt"
"thgônk cảm","thông cảm"
"cổchân","cổ chân"
"quạt nhrỏ","quạt nhỏ"
"tắt qạF","tắt quạt"
"đầulên","đầu lên"
"xoay đầu sangtjáimột tí","xoay đầu sang trái một tí"
"xoay ngửa ra","xoay ngửa ra"
"xoay ngửa ra hìn dê trần","xoay ngửa ra nhìn lên trần"
"xem lại tai giúpchÚ","xem lại tai giúp chú"
"cháu lấy máu êm lắm","cháu lấy máu êm lắm"
"lật ngườicHocháu boi giúp 2 vt giữa sỐng lưng và Gần xương cụt","lật người cho cháu bôi giúp 2 vt giữa sống lưng và gần xương cụt"
"thở bình mức ba","thở bình mức ba"
"ngồi dậy","ngồi dậy"
"ngủ dậy rồi ăn","ngủ dậy rồi ăn"
"gãi lậtđầu","gãi lật đầu"
"Htaytrái","tay trái"
"chuyểnkê lưng xuống mông","chuyển kê lưng xuống mông"
"NgZhiêng tay","nghiêng  tay"
"bỏ bớt chăn qra","bỏ  bớt chăn ra"
"tay phải co lên một tí","tay phải co lên một tí"
"tay phảinânglâu một tí","tay phải nâng lâu một tí"
"mỏi quá","mỏi quá"
"gãi cẳng tay phải","gãi cẳng tay phải"
"tayphải dịch ra ngoài","tay phải dịch ra ngoài"
"bật quạt lên","bật quạt lên"
